,id,Date,source,symbols,dayofweek,Close
175,1.0197266636582298e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
176,1.0197283426254766e+18,2018-07-18,impactinvest,FB,Wed,209.3600006103516
177,1.0197289212087706e+18,2018-07-18,Brother_Bob,FB,Wed,209.3600006103516
178,1.0197289517726228e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
179,1.0197293277878231e+18,2018-07-18,ZoZoStockwatch,FB,Wed,209.3600006103516
180,1.0197294687835464e+18,2018-07-18,Patguy000,FB,Wed,209.3600006103516
181,1.0197300886176358e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
182,1.0197194650957906e+18,2018-07-18,jimcramer,GOOGL,Wed,1212.9100341796875
183,1.0197194650957906e+18,2018-07-18,jimcramer,GOOGL,Wed,1212.9100341796875
184,1.0197194650957906e+18,2018-07-18,jimcramer,GOOGL,Wed,1212.9100341796875
185,1.0196757511450911e+18,2018-07-18,dh_capital,GOOGL,Wed,1212.9100341796875
186,1.0196768422891725e+18,2018-07-18,UKStatsCat,GOOGL,Wed,1212.9100341796875
187,1.0196775498765025e+18,2018-07-18,Rushmeliss,GOOGL,Wed,1212.9100341796875
188,1.0196793992919941e+18,2018-07-18,Adnanaldo,GOOGL,Wed,1212.9100341796875
189,1.0196795201048617e+18,2018-07-18,ModernWallSt,GOOGL,Wed,1212.9100341796875
190,1.0196798730804961e+18,2018-07-18,up_foreign,GOOGL,Wed,1212.9100341796875
191,1.0196805022599004e+18,2018-07-18,telconomia,GOOGL,Wed,1212.9100341796875
192,1.0196805107616686e+18,2018-07-18,telconomia,GOOGL,Wed,1212.9100341796875
193,1.0196811776225075e+18,2018-07-18,JS3Multimedia,GOOGL,Wed,1212.9100341796875
194,1.0196828004951859e+18,2018-07-18,thebearyouwant,GOOGL,Wed,1212.9100341796875
195,1.0196837087757722e+18,2018-07-18,seven_94509,GOOGL,Wed,1212.9100341796875
196,1.0196838155585085e+18,2018-07-18,stockassassin74,GOOGL,Wed,1212.9100341796875
