,id,Date,source,symbols,dayofweek
264,1016306708463829000,2018-07-09,DailyStockPlays,ARRY,Mon
265,1016306738109321200,2018-07-09,MareaInformativ,HCA,Mon
266,1016306765300928500,2018-07-09,MareaInformativ,FMSA,Mon
267,1016306771244138500,2018-07-09,DailyStockPlays,QRVO,Mon
268,1016306804924432400,2018-07-09,DailyStockPlays,CX,Mon
269,1016306881566945300,2018-07-09,DailyStockPlays,HDS,Mon
270,1016306897329246200,2018-07-09,ThisLincolnian,GNTX,Mon
271,1016306919680589800,2018-07-09,DailyStockPlays,ARRY,Mon
272,1016306956540076000,2018-07-09,DailyStockPlays,HSY,Mon
273,1016306988374941700,2018-07-09,kirtip56,UDR,Mon
274,1016307079441571800,2018-07-09,DailyStockPlays,PNR,Mon
275,1016307185008115700,2018-07-09,EnterpriseLeade,FMSA,Mon
276,1016307500180803600,2018-07-09,GNWLive,WLTW,Mon
277,1016307694981079000,2018-07-09,TranscriptDaily,LH,Mon
278,1016307769576738800,2018-07-09,dispatchtribune,FMSA,Mon
279,1016307860278595600,2018-07-09,ledgerzette,HCA,Mon
280,1016308158770307100,2018-07-09,SeekingAlpha,WM,Mon
281,1016308221357805600,2018-07-09,Allstocknews,MUR,Mon
282,1016308518285205500,2018-07-09,SwingTradeBot,AON,Mon
283,1016308599411310600,2018-07-09,TradeAcademyCo,FNSR,Mon
284,1016308893549498400,2018-07-09,OpenOutcrier,HSY,Mon
285,1016308896326209500,2018-07-09,tradnews_,HSY,Mon
286,1016308962906595300,2018-07-09,TradeAcademyCo,DLTR,Mon
287,1016308966396170200,2018-07-09,StockTexts,WLTW,Mon
288,1016309270210662400,2018-07-09,FASTGraphs,ROP,Mon
289,1016309757773115400,2018-07-09,1MinuteStock,AON,Mon
290,1016310366383599600,2018-07-09,stockelite,WLTW,Mon
291,1016310509438718000,2018-07-09,shortvolumes,NVAX,Mon
292,1016313467433709600,2018-07-09,Drugdoctor2014,HSY,Mon
293,1016313527328534500,2018-07-09,ZoomStocks,CNP,Mon
294,1016313738390048800,2018-07-09,TranscriptDaily,AEE,Mon
295,1016313742232117200,2018-07-09,TranscriptDaily,FLR,Mon
296,1016314495273259000,2018-07-09,whatsonthorold2,BXP,Mon
297,1016314743735312400,2018-07-09,SeekingAlpha,CNP,Mon
298,1016314779005341700,2018-07-09,The_CasualSmart,BXP,Mon
299,1016314796457758700,2018-07-09,DividendSheet,PNR,Mon
300,1016314826002452500,2018-07-09,reurope_stock,BXP,Mon
301,1016315023352848400,2018-07-09,reurope_stock,LH,Mon
302,1016315227326025700,2018-07-09,bibeypost_stock,BXP,Mon
303,1016315383609823200,2018-07-09,LargeVoidBot,DLPH,Mon
